# Ising Model Monte Carlo Simulation Results
# Lattice size: 16x16, J = 1
# Columns: T, M_avg, Mabs_avg, Msq_avg, Chi_M, Chi_Mabs, E_avg, Esq_avg, C_v, Binder
Temperature,Magnetization,AbsMagnetization,MagSqAvg,Susceptibility_M,Susceptibility_Mabs,Energy,EnergySqAvg,SpecificHeat,BinderParameter
4.6,-1.21094e-05,0.034141,0.471304,0.102457,0.0375887,-0.470477,59.2198,0.120731,-253.762
4.5,0.0004875,0.0340031,0.464569,0.103224,0.0374618,-0.484092,62.5886,0.128207,-252.763
4.4,-9.29688e-05,0.0337719,0.459377,0.104403,0.0380451,-0.495904,65.5205,0.132477,-252.296
4.3,-0.000308203,0.0330855,0.441334,0.10263,0.0374656,-0.508995,68.9071,0.139741,-251.789
4.2,-0.000607422,0.0328512,0.438584,0.104402,0.0386449,-0.527316,73.837,0.150397,-257.039
4.1,0.000384766,0.0326418,0.432757,0.105541,0.0390225,-0.543412,78.3174,0.161902,-257.653
4,0.000239063,0.032532,0.426788,0.106693,0.0389635,-0.557124,82.2076,0.171775,-254.007
3.9,8.55469e-05,0.0321348,0.416676,0.106839,0.0390561,-0.575616,87.6339,0.184913,-253.175
3.8,-0.000269531,0.0320227,0.415597,0.109363,0.0402846,-0.592697,92.7537,0.195537,-254.427
3.7,0.000317188,0.0313711,0.398986,0.107827,0.0397418,-0.61465,99.6384,0.213509,-255.67
3.6,-0.000252734,0.0308613,0.383432,0.106504,0.0387811,-0.635666,106.373,0.226156,-251.813
3.5,0.000322266,0.0303645,0.374384,0.106959,0.039529,-0.660004,114.533,0.246356,-256.574
3.4,0.000217969,0.0299852,0.367275,0.108018,0.0403243,-0.68608,123.584,0.266701,-262.099
3.3,-5.3125e-05,0.0299227,0.361191,0.109451,0.039993,-0.713889,133.756,0.302034,-251.152
3.2,6.13281e-05,0.0289098,0.338202,0.105688,0.0388262,-0.743423,144.801,0.323808,-256.567
3.1,0.000117969,0.0283563,0.325911,0.105131,0.0387313,-0.778793,158.686,0.35562,-255.528
3,0.000127734,0.0278895,0.314482,0.104826,0.0384532,-0.819788,175.646,0.400105,-250.776
2.9,9.41406e-05,0.0271129,0.296109,0.102105,0.037214,-0.856752,191.751,0.456755,-248.398
2.8,-0.000309766,0.0265348,0.285649,0.102009,0.0376432,-0.905583,214.191,0.542181,-252.69
2.70001,-7.30469e-05,0.0254332,0.263429,0.0975656,0.0362354,-0.975579,248.693,0.6919,-258.01
2.60001,-0.000112109,0.0245926,0.246823,0.0949304,0.0353827,-1.0384,281.388,0.791057,-256.322
2.50001,-0.000116797,0.0234879,0.226757,0.0907012,0.0342106,-1.13021,333.713,1.0729,-264.778
2.40001,-2.30469e-05,0.0219512,0.198005,0.082502,0.0311045,-1.24986,407.831,1.3754,-259.077
2.30001,4.57031e-05,0.0199184,0.16503,0.071752,0.0275933,-1.39166,504.611,1.6663,-269.543
2.20001,-7.30469e-05,0.0177855,0.131585,0.0598107,0.0230026,-1.53709,611.567,1.39035,-270.069
2.10001,-0.000120703,0.0157809,0.104354,0.0496904,0.0193337,-1.66017,709.883,0.976668,-269.997
2.00001,1.05469e-05,0.0138887,0.081607,0.0408034,0.0161129,-1.74559,782.903,0.711796,-276.273
1.90001,0.000164063,0.0124156,0.0656641,0.0345563,0.0137906,-1.80766,838.559,0.566396,-274.804
1.80001,-1.01563e-05,0.0107281,0.0504672,0.0280372,0.0116686,-1.85942,886.504,0.431001,-278.528
1.70001,-8.59375e-05,0.00926875,0.0389453,0.0229078,0.00997198,-1.89733,922.592,0.354626,-296.523
1.60001,6.25e-05,0.00765313,0.0279828,0.0174886,0.00811798,-1.92904,953.296,0.262202,-300.372
1.50001,0.000177344,0.00617031,0.0197438,0.0131571,0.00666472,-1.95119,975.061,0.192452,-322.294
1.40001,-5.74219e-05,0.00474023,0.0134602,0.00961376,0.00550561,-1.96807,991.843,0.140387,-350.782
1.30001,-7.34375e-05,0.0034375,0.00874063,0.00672247,0.00439662,-1.97981,1003.61,0.104245,-394.187
1.20001,-5.85938e-05,0.00217656,0.00501875,0.00418154,0.00317163,-1.98859,1012.44,0.066861,-509.828
1.10001,-1.60156e-05,0.00128633,0.00282422,0.0025674,0.00218238,-1.9938,1017.71,0.043433,-742.226
1.00001,5.07813e-05,0.0006375,0.001325,0.00132433,0.00122095,-1.99722,1021.18,0.0226508,-1233.13
0.900005,5.46875e-06,0.000271875,0.000551563,0.000612835,0.000591819,-1.99887,1022.85,0.0112676,-2621.82
0.800005,6.25e-06,9.45313e-05,0.000189063,0.000236314,0.000233467,-1.9996,1023.59,0.00513537,-7051.34
0.700005,0,1.95313e-05,3.90625e-05,5.58031e-05,5.56636e-05,-1.99992,1023.92,0.0012723,-34132.3
0.600005,-7.8125e-07,3.90625e-06,7.8125e-06,1.30205e-05,1.30142e-05,-1.99998,1023.98,0.000347042,-170666
0.500005,-1.5625e-06,1.5625e-06,3.125e-06,6.24868e-06,6.24868e-06,-1.99999,1023.99,0.000199956,-426666
0.400005,0,0,0,0,0,-2,1024,0,-nan
0.300005,0,0,0,0,0,-2,1024,0,-nan
0.200005,0,0,0,0,0,-2,1024,0,-nan
0.100005,0,0,0,0,0,-2,1024,0,-nan
